id,sfg_id,multipolygon_id,polygon_id,linestring_id,x,y,geo_join_id
101,2,2,1,1,1009230,257402,101
101,2,2,1,1,1009220,257414,101
101,2,2,1,1,1009218,257422,101
101,2,2,1,1,1009210,257428,101
101,2,2,1,1,1009200,257438,101
101,2,2,1,1,1009184,257462,101
101,2,2,1,1,1009166,257488,101
101,2,2,1,1,1009150,257506,101
101,2,2,1,1,1009136,257524,101
101,2,2,1,1,1009120,257544,101
101,2,2,1,1,1009114,257544,101
101,2,2,1,1,1009110,257550,101
101,2,2,1,1,1009112,257552,101
101,2,2,1,1,1009094,257572,101
101,2,2,1,1,1009090,257572,101
101,2,2,1,1,1009090,257576,101
101,2,2,1,1,1009088,257582,101
101,2,2,1,1,1009064,257606,101
101,2,2,1,1,1009042,257632,101
101,2,2,1,1,1009018,257654,101
101,2,2,1,1,1009000,257668,101
101,2,2,1,1,1008978,257688,101
101,2,2,1,1,1008960,257704,101
101,2,2,1,1,1008944,257718,101
101,2,2,1,1,1008916,257744,101
101,2,2,1,1,1008904,257752,101
101,2,2,1,1,1008886,257766,101
101,2,2,1,1,1008866,257778,101
101,2,2,1,1,1008844,257792,101
101,2,2,1,1,1008832,257800,101
101,2,2,1,1,1008820,257808,101
101,2,2,1,1,1008810,257814,101
101,2,2,1,1,1008794,257824,101
101,2,2,1,1,1008790,257830,101
101,2,2,1,1,1008788,257828,101
101,2,2,1,1,1008786,257832,101
101,2,2,1,1,1008778,257838,101
101,2,2,1,1,1008730,257864,101
101,2,2,1,1,1008722,257866,101
101,2,2,1,1,1008712,257868,101
101,2,2,1,1,1008706,257870,101
101,2,2,1,1,1008698,257872,101
101,2,2,1,1,1008698,257874,101
101,2,2,1,1,1008692,257876,101
101,2,2,1,1,1008690,257878,101
101,2,2,1,1,1008686,257878,101
101,2,2,1,1,1008684,257884,101
101,2,2,1,1,1008678,257886,101
101,2,2,1,1,1008678,257890,101
101,2,2,1,1,1008674,257890,101
101,2,2,1,1,1008672,257890,101
101,2,2,1,1,1008670,257892,101
101,2,2,1,1,1008660,257894,101
101,2,2,1,1,1008658,257896,101
101,2,2,1,1,1008650,257900,101
101,2,2,1,1,1008644,257902,101
101,2,2,1,1,1008640,257902,101
101,2,2,1,1,1008632,257906,101
101,2,2,1,1,1008626,257908,101
101,2,2,1,1,1008620,257912,101
101,2,2,1,1,1008616,257914,101
101,2,2,1,1,1008610,257914,101
101,2,2,1,1,1008608,257916,101
101,2,2,1,1,1008606,257916,101
101,2,2,1,1,1008606,257918,101
101,2,2,1,1,1008602,257918,101
101,2,2,1,1,1008602,257922,101
101,2,2,1,1,1008600,257922,101
101,2,2,1,1,1008598,257922,101
101,2,2,1,1,1008596,257920,101
101,2,2,1,1,1008596,257916,101
101,2,2,1,1,1008578,257924,101
101,2,2,1,1,1008564,257928,101
101,2,2,1,1,1008544,257936,101
101,2,2,1,1,1008538,257938,101
101,2,2,1,1,1008528,257944,101
101,2,2,1,1,1008528,257946,101
101,2,2,1,1,1008524,257948,101
101,2,2,1,1,1008524,257952,101
101,2,2,1,1,1008520,257950,101
101,2,2,1,1,1008516,257950,101
101,2,2,1,1,1008510,257950,101
101,2,2,1,1,1008512,257954,101
101,2,2,1,1,1008508,257956,101
101,2,2,1,1,1008506,257958,101
101,2,2,1,1,1008502,257958,101
101,2,2,1,1,1008500,257956,101
101,2,2,1,1,1008498,257958,101
101,2,2,1,1,1008494,257958,101
101,2,2,1,1,1008492,257960,101
101,2,2,1,1,1008494,257964,101
101,2,2,1,1,1008492,257964,101
101,2,2,1,1,1008490,257962,101
101,2,2,1,1,1008488,257964,101
101,2,2,1,1,1008490,257966,101
101,2,2,1,1,1008488,257968,101
101,2,2,1,1,1008486,257966,101
101,2,2,1,1,1008484,257968,101
101,2,2,1,1,1008482,257968,101
101,2,2,1,1,1008480,257970,101
101,2,2,1,1,1008478,257970,101
101,2,2,1,1,1008474,257970,101
101,2,2,1,1,1008470,257974,101
101,2,2,1,1,1008468,257972,101
101,2,2,1,1,1008466,257974,101
101,2,2,1,1,1008462,257974,101
101,2,2,1,1,1008460,257976,101
101,2,2,1,1,1008454,257976,101
101,2,2,1,1,1008452,257978,101
101,2,2,1,1,1008452,257980,101
101,2,2,1,1,1008448,257982,101
101,2,2,1,1,1008446,257980,101
101,2,2,1,1,1008444,257980,101
101,2,2,1,1,1008442,257982,101
101,2,2,1,1,1008440,257984,101
101,2,2,1,1,1008434,257986,101
101,2,2,1,1,1008434,257988,101
101,2,2,1,1,1008424,257990,101
